variables (t c cw cac cbc ap apw bp bpw ash bsh asm bsm adr bdr cdr bo gl sg sl cl dr mo br la aw sw swl bit awe swe)
action shapea
	t	(t	(1.00)
			(0.00))
	c	(0.00)
	cw	(0.00)	
	cac     (0.00)
	cbc     (cbc      (1.00)
			(0.00))
	ap	(0.00)
	apw	(0.00)
	bp	(c	(0.00)
			(bp	(1.00)
				(0.00)))
	bpw	(c	(0.00)
			(bp	(bpw	(1.00)
					(0.00))
				(0.00)))
	ash	(c	(0.00)
			(0.80))
	bsh	(c	(0.00)
			(bsh	(1.00)
				(0.00)))
	asm	(0.00)
	bsm	(c	(0.00)
			(bsm	(1.00)
				(0.00)))
	adr	(adr	(1.00)
			(0.00))
	bdr	(bdr	(1.00)
			(0.00))
	cdr	(cdr	(1.00)
			(0.00))
	bo	(bo	(1.00)
			(0.00))
	gl	(gl	(1.00)
			(0.00))
	sg	(sg	(1.00)
			(0.00))
	sl	(sl	(1.00)
			(0.00))
	cl	(cl	(1.00)
			(0.00))
	dr	(dr	(1.00)
			(0.00))
	mo	(mo	(1.00)
			(0.00))
	br	(br	(1.00)
			(0.00))
	la	(la	(1.00)
			(0.00))
	aw	(aw	(1.00)
			(0.00))
	sw	(sw	(1.00)
			(0.00))
	swl	(swl	(1.00)
			(0.00))
	bit	(bit	(1.00)
			(0.00))
	awe	(awe	(1.00)
			(0.00))
	swe	(swe	(1.00)
			(0.00))

endaction
action shapeb
	t	(t	(1.00)
			(0.00))
	c	(0.00)
	cw	(0.00)
	cac     (cac    (1.00)
			(0.00))

	cbc     (0.00)
	ap	(c	(0.00)
			(ap	(1.00)
				(0.00)))
	apw	(c	(0.00)
			(ap	(apw	(1.00)
					(0.00))
				(0.00)))
	bp	(0.00)
	bpw	(0.00)
	ash	(c	(0.00)
			(ash	(1.00)
				(0.00)))
	bsh	(c	(0.00)
			(0.80))
	asm	(c	(0.00)
			(asm	(1.00)
				(0.00)))
	bsm	(0.00)
	adr	(adr	(1.00)
			(0.00))
	bdr	(bdr	(1.00)
			(0.00))
	cdr	(cdr	(1.00)
			(0.00))
	bo	(bo	(1.00)
			(0.00))
	gl	(gl	(1.00)
			(0.00))
	sg	(sg	(1.00)
			(0.00))
	sl	(sl	(1.00)
			(0.00))
	cl	(cl	(1.00)
			(0.00))
	dr	(dr	(1.00)
			(0.00))
	mo	(mo	(1.00)
			(0.00))
	br	(br	(1.00)
			(0.00))
	la	(la	(1.00)
			(0.00))
	aw	(aw	(1.00)
			(0.00))
	sw	(sw	(1.00)
			(0.00))
	swl	(swl	(1.00)
			(0.00))
	bit	(bit	(1.00)
			(0.00))
	awe	(awe	(1.00)
			(0.00))
	swe	(swe	(1.00)
			(0.00))

endaction
action drilla
	t	(t	(1.00)
			(0.00))
	c	(c	(1.00)
			(0.00))
	cw	(c	(cw	(1.00)
				(0.00))
			(0.00))
	cac     (cac    (1.00)
	                (0.00))
	cbc     (cbc    (1.00)
	                (0.00))	
	ap	(0.00)
	apw	(0.00)
	bp	(c	(0.00)
			(bp	(1.00)
				(0.00)))
	bpw	(c	(0.00)
			(bp	(bpw	(1.00)
					(0.00))
				(0.00)))
	ash	(c	(0.00)
			(ash	(1.00)
				(0.00)))
	bsh	(c	(0.00)
			(bsh	(1.00)
				(0.00)))
	asm	(0.00)
	bsm	(c	(0.00)
			(bsm	(1.00)
				(0.00)))
	adr	(c	(0.00)
			(adr	(1.00)
				(dr	(bit	(0.80)
						(0.00))
					(0.00))))
	bdr	(c	(0.00)
			(bdr	(1.00)
				(0.00)))
	cdr     (cac    (0.00)
                        (cdr    (1.00)
	                        (0.00)))
	bo	(bo	(1.00)
			(0.00))
	gl	(gl	(1.00)
			(0.00))
	sg	(sg	(1.00)
			(0.00))
	sl	(sl	(1.00)
			(0.00))
	cl	(cl	(1.00)
			(0.00))
	dr	(dr	(1.00)
			(0.00))
	mo	(mo	(1.00)
			(0.00))
	br	(br	(1.00)
			(0.00))
	la	(la	(1.00)
			(0.00))
	aw	(aw	(1.00)
			(0.00))
	sw	(sw	(1.00)
			(0.00))
	swl	(swl	(1.00)
			(0.00))
	bit	(bit	(1.00)
			(0.00))
	awe	(awe	(1.00)
			(0.00))
	swe	(swe	(1.00)
			(0.00))

endaction
action drillb
	t	(t	(1.00)
			(0.00))
	c	(c	(1.00)
			(0.00))
	cw	(c	(cw	(1.00)
				(0.00))
			(0.00))
	cac     (cac    (1.00)
	                (0.00))
	cbc     (cbc    (1.00)
	                (0.00))
	ap	(c	(0.00)
			(ap	(1.00)
				(0.00)))
	apw	(c	(0.00)
			(ap	(apw	(1.00)
					(0.00))
				(0.00)))
	bp	(0.00)
	bpw	(0.00)
	ash	(c	(0.00)
			(ash	(1.00)
				(0.00)))
	bsh	(c	(0.00)
			(bsh	(1.00)
				(0.00)))
	asm	(c	(0.00)
			(asm	(1.00)
				(0.00)))
	bsm	(0.00)
	adr	(c	(0.00)
			(adr	(1.00)
				(0.00)))
	bdr	(c	(0.00)
			(bdr	(1.00)
				(dr	(bit	(0.80)
						(0.00))
					(0.00))))
	cdr     (cbc    (0.00)
	                (cdr    (1.00)
				(0.00)))
	bo	(bo	(1.00)
			(0.00))
	gl	(gl	(1.00)
			(0.00))
	sg	(sg	(1.00)
			(0.00))
	sl	(sl	(1.00)
			(0.00))
	cl	(cl	(1.00)
			(0.00))
	dr	(dr	(1.00)
			(0.00))
	mo	(mo	(1.00)
			(0.00))
	br	(br	(1.00)
			(0.00))
	la	(la	(1.00)
			(0.00))
	aw	(aw	(1.00)
			(0.00))
	sw	(sw	(1.00)
			(0.00))
	swl	(swl	(1.00)
			(0.00))
	bit	(bit	(1.00)
			(0.00))
	awe	(awe	(1.00)
			(0.00))
	swe	(swe	(1.00)
			(0.00))

endaction
action drillc
	t	(t	(1.00)
			(0.00))
	c	(c	(1.00)
			(0.00))
	cw	(c	(cw	(1.00)
				(0.00))
			(0.00))
	cac     (cac    (1.00)
	                (0.00))
	cbc     (cbc    (1.00)
	                (0.00))
	ap	(cac	(0.00)
			(ap	(1.00)
				(0.00)))
	apw	(cac	(0.00)
			(ap	(apw	(1.00)
					(0.00))
				(0.00)))
	bp	(cbc	(0.00)
			(bp	(1.00)
				(0.00)))
	bpw	(cbc	(0.00)
			(bp	(bpw	(1.00)
					(0.00))
				(0.00)))
	ash	(cac	(0.00)
			(ash	(1.00)
				(0.00)))
	bsh	(cac	(0.00)
			(bsh	(1.00)
				(0.00)))
	asm	(cac	(0.00)
			(asm	(1.00)
				(0.00)))
	bsm	(cac	(0.00)
			(bsm	(1.00)
				(0.00)))
	adr	(cac	(0.00)
			(adr	(1.00)
				(0.00)))
	bdr     (cbc    (0.00)
			(bdr     (1.00)
				(0.00)))
	cdr	(cbc	(0.00)
			(cac    (0.00)
				(cdr	(1.00)
					(dr	(bit	(0.80)
							(0.00))
						(0.00)))))
	bo	(bo	(1.00)
			(0.00))
	gl	(gl	(1.00)
			(0.00))
	sg	(sg	(1.00)
			(0.00))
	sl	(sl	(1.00)
			(0.00))
	cl	(cl	(1.00)
			(0.00))
	dr	(dr	(1.00)
			(0.00))
	mo	(mo	(1.00)
			(0.00))
	br	(br	(1.00)
			(0.00))
	la	(la	(1.00)
			(0.00))
